Metastudie;Doi;Titel;Publikationsjahr;Anzahl Studien;Studienname;Publikationsjahr;Geschlecht;Index_Geschlecht;AlterText;Alter;Alter.gewichte;Alterrange;;;;;;exclusion:;;;;;;;;;;;;;;
9;https://doi.org/10.1002/14651858.CD004748;Velnacrine for Alzheimer's disease;2004;4;Antuono ;1995;120 men and 281 women;both;449 participants, aged 49?92 years (mean age = 72.9 years);72,9;;49-62;;;;;55;https://doi.org/10.1002/14651858.CD010783.pub3;We used acceptable and commonly used reference standards for dementia in general, Alzheimer?s dementia, Lewy body dementia, vascular dementia and frontotemporal dementia.;;;;;;;;;;;;;
9;https://doi.org/10.1002/14651858.CD004748;Velnacrine for Alzheimer's disease;2004;4;Cutler ;1990;12 men and 12 women;both;24 participants, aged 56?89 years (mean age = 73 +? 8.4years);73;;;;;;;72;https://doi.org/10.1002/14651858.CD004990;All unconfounded, double?blind, randomised controlled trials, comparing trazodone with placebo in managing behavioural and psychiatric symptoms (except depression) in any type of dementia.;;;;;;;;;;;;;
9;https://doi.org/10.1002/14651858.CD004748;Velnacrine for Alzheimer's disease;2004;4;Zemlan ;1996a;127 men and 181 women;both;309 participants, aged 50?89 years (mean age = 71.6 years), ;71,6;;50-89;;;;;13;https://doi.org/10.1002/14651858.CD003153;A study on healthy subjects pretreated with scopolamine to mimic Alzheimer's disease showed a positive effect of D?cycloserine at low doses;;;;;;;;;;;;;
9;https://doi.org/10.1002/14651858.CD004748;Velnacrine for Alzheimer's disease;2004;4;Zemlan ;1996b;46 men and 71 women;both;117 participants, aged 50?88 years (mean age = 71.5 years), ;71,5;;50-88;;;;;66;https://doi.org/10.1002/14651858.CD003154.pub6;We pooled and analysed data from four clinical domains across different aetiologies and severities of dementia and for AD with agitation;;;;;;;;;;;;;
12;https://doi.org/10.1002/14651858.CD005593;Cholinesterase inhibitors for Alzheimer's disease;2006;14;DON vs RIV/Bullock ;;;not reported;"998 participants with mild to moderate probable Alzheimer's disease
(DSM?IV and NINCDS?ADRDA criteria), mean MMSE 15.1(3.0), mean age 75.9 (6.7)";75,9;;;;;;;21;https://doi.org/10.1002/14651858.CD003260.pub2;Cognitive impairments, particularly memory problems, are a defining feature of the early stages of Alzheimer's disease (AD) and vascular dementia;;;;;;;;;;;;;
12;https://doi.org/10.1002/14651858.CD005593;Cholinesterase inhibitors for Alzheimer's disease;2006;14;DON?302;;180 men and 293 women;both;473 participants, aged 51?94 years, 180 men and 293 women;not reported;;51-94;;;;;83;https://doi.org/10.1002/14651858.CD002955.pub4;We identified nine randomised controlled trials involving 847 patients with Alzheimer's disease, vascular dementia, mixed dementia, senile dementia and unspecified dementia;;;;;;;;;;;;;
12;https://doi.org/10.1002/14651858.CD005593;Cholinesterase inhibitors for Alzheimer's disease;2006;14;DON?304 ;;348 men and 470 women;both;818 participants, with mild to moderately severe AD, mean age 71.7 (8.3);71,7;;;;;;;39;https://doi.org/10.1002/14651858.CD007178.pub2;"Alzheimer's dementia (AD) is the most common form of dementia in people with Down Syndrome [DS];  It is important to note that people with DS tend to present with AD at a much younger age than the normal population as well as having subtle differences in physiology (e.g. metabolism and heart rate) and may therefore have different requirements from the general population";;;;;;;;;;;;;
12;https://doi.org/10.1002/14651858.CD005593;Cholinesterase inhibitors for Alzheimer's disease;2006;14;DON?311 ;;37 men and 171 women;both;"study with 208 participants, with possible or probable AD, or AD 
with cerebrovascular disease (but not vascular dementia)";not reported;;;;;;;92;https://doi.org/10.1002/14651858.CD011022.pub2;"Dementia is a collective name for different degenerative brain syndromes which, according to Alzheimer's Disease International, affects approximately 35.6 million people worldwide; We considered randomised controlled trials (RCTs) in any language, including cross?over design and cluster?RCTs for inclusion. Studies considered had to include people with dementia, in any age group and in any setting, with interventions delivered by a dance movement therapy practitioner";;;;;;;;;;;;;
12;https://doi.org/10.1002/14651858.CD005593;Cholinesterase inhibitors for Alzheimer's disease;2006;14;DON?402 ;; 71 men and 82 women;both;"153 participants,with probable AD diagnosed within the last year (DSM?IV and NINCDS?ADRDA), 
mean age 74.0 years, mean MMSE=24.1";74;;;;;;;40;https://doi.org/10.1002/14651858.CD012558.pub2;Clinical judgement by primary care physicians for the diagnosis of all?cause dementia or cognitive impairment in symptomatic people;;;;;;;;;;;;;
12;https://doi.org/10.1002/14651858.CD005593;Cholinesterase inhibitors for Alzheimer's disease;2006;14;DON?Feldman ;;115 men and 177 women;both;292 participants, aged 51?94 years;not reported;;51-94;;;;;90;https://doi.org/10.1002/14651858.CD008191.pub2;Objectives: To assess the safety and efficacy of antidepressants in treating psychosis and agitation in older adults with Alzheimer's disease, vascular, or mixed dementia;;;;;;;;;;;;;
