Metastudie;Doi;Titel;Publikationsjahr;Anzahl Studien;Studienname;Publikationsjahr;Geschlecht;Index_Geschlecht;Alter.Text;Alter;Alter.gewichte;Alterrange;;;;Gesamt 159;;;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;Alekseeva;2000;;not reported;"60 patients with type 2 diabetes (30 in each arm)
30 patients in a further treatment arm receiving linseed oil measuring lipid markers";not reported;;;;;76;https://doi.org/10.1002/14651858.CD003287.pub4;"For studies in type 1 diabetes patients the incidence of severe hypoglycaemia ranged from 0 to 247.3 (median 21.8) episodes per 100 person?years for insulin analogues and from 0 to 544 (median 46.1) for regular insulin, in type 2 the incidence ranged from 0 to 30.3 (median 0.3) episodes per 100 person?years for insulin analogues and from 0 to 50.4 (median 1.4) for regular insulin; NUMBER: I:Type 1: 162 vs. 174; II:Type 2: 145 vs. 150 Type 2 (lispro vs. regular); TYPE OF DIABETES: 1 and 2; MEAN AGE [YEARS]: Type 1: 32 vs. 32; Type 2: 56 vs. 56 (lispro vs. regular)  ";;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;Annuzzi;1991;8 male patients with type 2 diabetes;male;;not reported;;;;;80;https://doi.org/10.1002/14651858.CD009951.pub3;title: Probiotics for preventing gestational diabetes;;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;Axelrod;1994;;not reported;"20 ambulatory participants (10 in each arm, 9 in each arm for final analysis) 
with type 2 diabetes";not reported;;;;;63;https://doi.org/10.1002/14651858.CD008474.pub2;Adults (over 18 years of age) with type 1 or type 2 DM, and with an active foot ulcer of neuropathic, neuroischaemic or ischaemic aetiology.;;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;Boberg;1992;;not reported;14 participants (86% male) with type 2 diabetes;not reported;;;;;115;https://doi.org/10.1002/14651858.CD006763.pub2;We included all randomised controlled trials of salt reduction in individuals with type 1 and type 2 diabetes.;;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;Borkman;1989;10 participants (70% male);both;"10 participants (70% male, 57ñ6.3 years old) with mild type 2 diabetes 
for 3.5ñ2.8 years of disease. (7 in the final analysis for HDL and LDL).";57;;;;;135;https://doi.org/10.1002/14651858.CD010564.pub2;"Metformin for women who are overweight or obese during pregnancy for improving maternal and infant outcomes; Inlcusion criteria: pregnant women with BMI ? 30 kg/m2, and normal glucose tolerance test";;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;Connor ;1993;16 participants (81% male);both;16 participants (81% male, 58.7ñ8 years?old) with type 2 diabetes;58,7;;;;;131;https://doi.org/10.1002/14651858.CD007669.pub2;"Steroid avoidance or withdrawal for pancreas and pancreas with kidney transplant recipients; Pancreas or kidney?pancreas transplantation improves survival and quality of life for people with type 1 diabetes mellitus and kidney failure";;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;Goh ;1997;;not reported;"28 people with type 2 diabetes were divided into a low polyunsaturated/saturated 
fat and a high polyunsaturated/saturated fat diet group. Each group was then randomized to each crossover arm.";not reported;;;;;128;https://doi.org/10.1002/14651858.CD012099.pub2;"Considering the rising prevalence of overweight and obesity globally and the known benefits of breastfeeding particularly in reducing the long?term risks of obesity and diabetes for infants; Mothers who do not breastfeed are at greater risk of female cancers and type 2 diabetes.";;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;Hendra ;1990;EXCLUSION CRITERIA: pregnant, oral contraceptive pills;not reported;80 people (40 in each group, 56ñ1.3 years old) with type 2 diabetes;56;;;;;124;https://doi.org/10.1002/14651858.CD003641.pub4;Improvements for some aspects of health?related quality of life (QoL) (two RCTs) and diabetes (five RCTs) were also found;;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;Jain ;2002;"40 of the patients with type 2 diabetes (66% male) 
were randomized to 25 in the treatment group and 15 in the control arm";not reported;"65 people with type 2 diabetes (34 with vascular complications and 31 without) 
and 30 controls without type 2 diabetes. 40 of the patients with type 2 diabetes (66% male) were randomized to 25 in the treatment group and 15 in the control arm ( 52.3ñ8.8 years old and 5.41ñ4.31 years mean duration of diabetes)";52,3;;;;;156;https://doi.org/10.1002/14651858.CD002966.pub4;"Metformin monotherapy for type 2 diabetes mellitus

This review has been withdrawn";;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;Luo ;1998;12 male participants;male;"12 male participants (54ñ9.5 years old) with 6ñ3.2 years of type 2 diabetes, 
not on insulin";54;;;;;116;https://doi.org/10.1002/14651858.CD007751.pub2;Angiotensin?converting enzyme inhibitors and angiotensin receptor blockers for adults with early (stage 1 to 3) non?diabetic chronic kidney disease;;;;;
