;COPD;;;;;;Ischaemic Heart Disease;;;;;;Alzheimer's disease;;;;;;Stroke;;;;;;Diabetis Mellitus;;;;;;;
Search String;Pulmonary Disease, Chronic Obstructive mit Pubmed Animal Filter;;;;;;Myocardial Ischemia mit Pubmed Animal Filter;;;;;;Alzheimer Disease mit animal Filter ;;;;;;Stroke mit Pubmed Animal Filter;;;;;;Diabetes Mellitus mit Pubmed Animal Filter;;;;;;;
;Numbers;PMID;Text;Age;;Sex;Numbers;PMID;Text;Age;;Sex;Numbers;PMID;Text;Age;;Sex;Numbers;PMID;Text;Age;;Sex;Numbers;PMID;Text;Age;;Sex;;
1;1898;31182478;C57/BL6 mice (7?8-wk-old females) ... Mice were exposed to four cigarettes 5 d/wk for a total of 6 mo.ÿ;33-34 weeks;33,5;female;153;34508321;Specific pathogen free (SPF) C57BL/6 male mice (aged 8?10 weeks, weighing 20?22 g) were selected;8-10 weeks;9;Male;12514;25258048;Ten female, 18-month-old, 3xTgAD mice and 10 wild-type (WT)-associated controls (C57Bl/6J-Sv129 mice) were used for in vitro binding assays and in vivo studies. Mice (26?36 g) were housed ;18 month ~ 78 weeks;78;female;3785;31628642;Male, wild-type C57BL/6 mice, 8?12ÿweeks old, average weighing 25?30ÿg;8-12 weeks;10;Male;10681;23640454;thirty five 3xTg-AD animals (15 female and 20 male) and twelve PS1-KI animals (7 male and 5 female) were enrolled at 3 m.o.a. and randomly assigned for 9 months to exenatide or saline administration?bar graphs show mitochondrial COX activity in 12-month-old treated and untreated PS1-KI and 3xTg-AD mice;12 month ~ 52 weeks;52;both;C‚line;
2;1670;28145442;"the animals were exposed whole body to mainstream CS of 5 cigarettes (Reference Cigarette 3R4F without filter; University of Kentucky) four times a day with 30-min smoke-free intervals, for 4 weeks (sub-acute), 12 weeks, or 24 weeks (chronic). The control groups were exposed to room air. An optimal smoke/air ratio of 1/6 was obtained. CS exposure started at an age of 8?9 weeks.";32-33 weeks;32,5;male;3306;26945157;Adult outbred male CD1 mice (10 weeks of age) were supplied by Harlan Sprague Dawley;10 weeks;10;male;7377;25931333;5XFAD (3-month-old malesÿnÿ=ÿ7, 6-month-old malesÿnÿ=ÿ5, 3-month-old femalesÿnÿ=ÿ9, 6-month-old femalesÿnÿ=ÿ6) and 5XFAD/BChE-KO (3-month-old malesÿnÿ=ÿ10, 6-month-old malesÿnÿ=ÿ4, 3-month-old femalesÿnÿ=ÿ6, 6-month-old femalesÿnÿ=ÿ6);6 month~26 weeks;26;both;7388;29444200;WT and Sirt3?/? mice were kept in a temperature-controlled facility with a 12-h light/dark cycle and free access to normal chow and water for 16?weeks;16 weeks;16;Male;20545;30088676;By reaching 16 weeks of age, mice were used for experimentation.;16 weeks;16;male;;"
2.2 Type 1 diabetes induction

Eight-week-old mice were divided randomly into two groups, namely control and STZ. Diabetic mice received a single intraperitoneal injection of STZ (Sigma Chemicals, St. Louis, MO) at 125?mg/kg dissolved in citrate buffer (20?mM, pH 4.5). Control mice were treated identically except that a similar volume of buffer was injected instead of STZ. Blood samples were taken from the tail 48?h after administration of STZ to confirm the induction of DM. Mice with serum glucose concentrations of ?15?mmol/L were considered as diabetic (as measured with the ACCUCHECK Blood Glucose Monitoring System©, Roche Diagnostics, Indianapolis, IN). All experimental comparisons of diabetic and non-diabetic control mice were made 4 weeks following STZ administration.9
2.3 Type 2 diabetes induction

Four-week-old mice were divided randomly into control and obese groups. By reaching 4 weeks of age, the animals were fed for additional 12 weeks with a high-fat diet to induce obesity (carbohydrate: 29%; protein: 16%; fat: 55%), whereas the control group received standard chow (carbohydrate: 70%; protein: 20%; fat: 10%). By reaching 16 weeks of age, mice were used for experimentation."
3;1806;32130031;6- to 8-wk-old Adam17?Mx1 and control mice were intraperitoneally injected with 250 ?g of Poly(I:C) three times at 2-day intervals as described (19). After the final Poly(I:C) injection (2 wk), mice were used for experiments.;8-10 weeks;9;male;6861;30613290;Mice (C57BL/6, 6-8 weeks, 18-25 g);6-8 weeks;7;not reported;12460;24362760;"We carried out a detailed histological analysis in both the younger mice (mean age = 4 months; EC-APP/Tau, n = 11; EC-APP, n = 10; EC-Tau, n = 6) and older mice (mean age = 12 months; EC-APP/Tau, n = 7; EC-APP, n = 5; EC-Tau, n = 5). ";12 month ~ 52 weeks;52;not reported;279;34168317;Male ICR mice (26?30?g, total?=?911) were purchased from JOINN Laboratories;~5-7 weeks (https://www.taconic.com/mouse-model/icr);6;Male;7431;30129056;"Six-week-old male C57BL/6J mice were housed in 24øC with a 12ÿh light/dark cycle. After 1ÿweek of acclimatization to the environment, the mice were randomly divided into four groups: a normal control group (NC; nÿ=ÿ10), a diabetic model control group (DC; nÿ=ÿ10), a low-dose nuciferine treatment group (Nuci-L; nÿ=ÿ10) and a high-dose nuciferine treatment group (Nuci-H; nÿ=ÿ10). The mice in the normal group were given a standard diet (Research Diet, D12450B, 10% calories from fat), and the mice in the other groups were fed with HFD (Research Diet, D12492, 60% calories from fat) during the experimental period. The mice in the Nuci-L and Nuci-H groups were fed with HFD, supplemented with 0.06% (w/w) or 0.12% (w/w) nuciferine respectively. After feeding the HFD for 6ÿweeks in DC and nuciferine treated groups, the mice were fasted for 12ÿh overnight and then injected i.p. with STZ (35ÿmgúkg?1, dissolved at 0.1ÿmM cold citrate buffer, pHÿ4.4) for 3ÿdays to induce T2DM (Nath et al., 2017).";12,5 weeks;12,5;male;;
4;722;27559927;"Eight weeks old male C57BL/6J mice were used for CS exposure...Mice received 5 h exposures per day, 5
days/week for 6 months, and were sacrificed at 24 h after last CS exposure.";34,76 weeks;34,76;male;403;32016996;"60 male apolipoprotein E (ApoE)-/- mice...10
nmol of agomir-126 or 20 nmol of antagomir-126
were dissolved in 0.1 mL of normal saline, and
the drugs were injected into the tail vein once
every 3 d from the 10th week for 5 weeks. ";15 weeks;15;Male;12930;24360883;Surgeries were performed on 1- to 14-month-old WT and AD mice for virus injection.;14 month ~61 weeks;61;not reported;4586;31585911;in adult male BALB/c mice weighing 18?22 g;~4-5 weeks;4,5;male;28785;23475366;"Mice were placed on an HFD (45% kJ from fat; D12451 Research Diets, New Brunswick, NJ, USA) at 8ÿweeks of age for 20ÿweeks";28 weeks;28;both;;
5;1126;31964384;Twelve week old male mice? Mice were sacrificed after 7, 24, 48, 72, 96, or 120?h;12 weeks;12;male;2829;33658008;C57BL/6 male mice (6?8-week-old, 20?25ÿg);6-8 weeks;9;Male;4531;33939165;Both male and female P301S mice and age-matched non-transgenic wild-type (WT) littermates at 7ÿmonths of age were used in the present study.;7 month ~30 weeks;30;both;2181;33401017;a total of 184 male 6?8ÿweeks old C57BL/6 mice, purchased from Charles River (Sulzfeld Germany) are included.;6-8 weeks;7;Male;24637;24609055;Forty 8-week-old male genetically diabetic C57BL/KsJ-db/db mice and their lean nondiabetic C57BL/KsJ-db/m littermates, weighing 34?42 g,...Mice were given either 300 mg/kg/d of xuezhikang (WBL Peking University Biotech Co, Ltd, Beijing, China) or placebo (0.5% natrium cellulose solution) by gavage for 8 weeks.;8 weeks;8;male;;
6;217;23680060;Six Scnn1b-Tg and six Wt mice (females, age: 10 ? 18 weeks, body weights: 22 - 33 g) were used. There were no significant differences in age or body weight between mutant and Wt mice. ;10-18 weeks;14;female;1994;31985487;All experiments were performed on 10-12 weeks old male mice.;10-12 weeks;11;Male;1869;33579892;The RAB fraction of 12-month-old male TauP301S mouse brain homogenate;12 month ~ 52 weeks;52;male;4687;31454333;Wild-type male C57BL/6J mice (10?12 weeks, total n = 9) were obtained from Charles River;10-12 weeks;11;Male;15427;28382382;"Eight to 12-week-old male mice were randomised according to body weight and divided into four groups: WT or Sucnr1 ?/? mice receiving either a low-fat diet (LFD; 10% energy derived from fat; D12450J, Research Diets, New Brunswick, NJ, USA) or a high-fat diet (HFD; 60% energy derived from fat; Research Diets, D12492). Each of the four groups was further randomised into three groups that received either 2, 8 or 16ÿweeks of diet.";12+16 weeks?;28;male;;
7;895;34742298;C57BL/6 mice (male, 6?8 weeks) ... mice were exposed to six cigarettes (containing 0.8 mg of nicotine and 10 mg of tar per cigarette, Shishi, China) 3 times a day, 6 days/week for a total of 12 weeks.;18-20 weeks;19;male;648;29982602;" Ldlr?/?-mice on a chow diet, with food and water received ad libitum (13?19?weeks old for control with phosphate-buffered saline (PBS) and 19?weeks old for large ?empty? vesicle (LEV), weight 30?33g) (n?=?16 per group) ...The mice were fed on an high-fat atherogenic diet (21% milk fat, 0.2% cholesterol; Harlan Teklad; TD88137; colloquially called the ?Western? diet) from 14 to 22?weeks of age onwards, with food and water received ad libitum. Myriocin (0.3?mg/kg) (Biomol Research Laboratories Inc.) or PBS as control was injected intraperitoneally (i.p.) three times per week for 10?weeks. ";32 weeks;32;Male;5727;32377293;The 7-month-old male APP/PS1 double transgenic mice and wild-type mice (C57BL/6);7 month ~30 weeks;30;male;164;34553324;Both male and female BALB/c mice were purchased from Charles River Laboratories...Male BALB/c mice of age 6?8 weeks ;6-8 weeks;7;both;34448;30862474;Bildunterschrift in Tim-3 KD mice at 16 weeks of age after STZ injection.;16 weeks;16;male;;
8;1520;34764283;For experiments involving FACS followed by downstream sequencing, 6-week-old female mice were used. For all other experiments, gender-matched 6-week-old mice were used. ;6 weeks;6;both;754;27911394;8 - 12 week old male C57Bl/6 mice;8-12 weeks;10;male;3907;30254165;Mice were treated for 2 wk at a dose of 150 mg/kg/wk starting at 3 mo of age;3 month ~13 weeks;13;not reported;5207;31387178;Male C57BL6 (25?30?g) were purchased from the Vital River Laboratory Animal;~8-12 weeks;10;Male;3701;32858910;"the start of experiments when the mice were six weeks old/ Plasma and Tissue Sample Collection
Mice (6, 10, or 16 weeks old) were anesthetized";6 weeks;6;Male;;
